Data item name,Description,Form name,Theme,Theme_count,Theme_group
RO1_edupst_net_cur_exp,NET current expenditure - Post-16 provision,RO1,edupst,7,Education
RO1_eduoth_empl,Employees - Other education and community budget,RO1,eduoth,7,Education
RO1_eduoth_run_exp,Running expenses - Other education and community budget,RO1,eduoth,7,Education
RO1_eduoth_tot_exp,Total expenditure - Other education and community budget,RO1,eduoth,7,Education
RO1_eduoth_sfc,"Sales, Fees and Charges - Other education and community budget",RO1,eduoth,7,Education
RO1_eduoth_oth_inc,Other income - Other education and community budget,RO1,eduoth,7,Education
RO1_eduoth_tot_inc,Total income - Other education and community budget,RO1,eduoth,7,Education
RO1_eduoth_net_cur_exp,NET current expenditure - Other education and community budget,RO1,eduoth,7,Education
RO1_edutot_empl,Employees - TOTAL EDUCATION SERVICES,RO1,edutot,7,Education
RO1_edutot_run_exp,Running expenses - TOTAL EDUCATION SERVICES,RO1,edutot,7,Education
RO1_edutot_tot_exp,Total expenditure - TOTAL EDUCATION SERVICES,RO1,edutot,7,Education
RO1_edutot_sfc,"Sales, Fees and Charges - TOTAL EDUCATION SERVICES",RO1,edutot,7,Education
RO1_edutot_oth_inc,Other income - TOTAL EDUCATION SERVICES,RO1,edutot,7,Education
RO1_edutot_tot_inc,Total income - TOTAL EDUCATION SERVICES,RO1,edutot,7,Education
RO1_edutot_net_cur_exp,NET current expenditure - TOTAL EDUCATION SERVICES,RO1,edutot,7,Education
RO1_edusvmem_run_exp,Education services - memorandum item 'of which agency staff costs',RO1,edusvmem,1,Education
RO2_transpln_hghwys_mnt_empl,"Employees - Highways maintenance planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_hghwys_mnt_run_exp,"Running expenses - Highways maintenance planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_hghwys_mnt_tot_exp,"Total expenditure - Highways maintenance planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_hghwys_mnt_sfc,"Sales, Fees and Charges - Highways maintenance planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_hghwys_mnt_oth_inc,"Other income - Highways maintenance planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_hghwys_mnt_tot_inc,"Total income - Highways maintenance planning, policy and strategy",RO2,transpln,14,Transport
